username,email,image_url
Bob Belcher,bob@bobsburgers.com,"https://vignette3.wikia.nocookie.net/bobsburgerpedia/images/3/3e/Bobbelcher2.png/revision/latest?cb=20130114075133"
Linda Belcher,linda@bobsburgers.com,"http://vignette2.wikia.nocookie.net/bobsburgerpedia/images/b/b7/Lindab.png/revision/latest?cb=20130113071354"
Tina Belcher,tina@bobsburgers.com,"https://vignette3.wikia.nocookie.net/bobsburgerpedia/images/6/6e/Tina_render.png/revision/latest?cb=20130113192209"
Gene Belcher,gene@bobsburgers.com,"http://vignette2.wikia.nocookie.net/bobsburgerpedia/images/b/b7/Gene_Belcher.png/revision/latest?cb=20130114043308"
Louise Belcher,louise@bobsburgers.com,"http://vignette2.wikia.nocookie.net/bobsburgerpedia/images/b/b9/Louise_render.png/revision/latest?cb=20130113075349"
Jimmy Pesto Jr,jimmyjr@pesto.com,"https://s-media-cache-ak0.pinimg.com/originals/14/dd/74/14dd741f464d43f67377d53bed559986.jpg"
Zeke,zeke@teenzone.com,"http://vignette2.wikia.nocookie.net/bobsburgerpedia/images/6/69/Vlcsnap-2013-03-05-10h47m16s100.png/revision/latest?cb=20160227013540"
Phillip Frond,phillycheesesteak@yahoo.com,"http://vignette4.wikia.nocookie.net/bobsburgerpedia/images/5/57/Mr_Frond_-_2.jpg/revision/latest?cb=20150727151439"
Teddy,teddy@hotmail.com,"http://vignette4.wikia.nocookie.net/bobs-burgers/images/5/5e/Teddy.png/revision/latest?cb=20150921125155&path-prefix=de"
Calvin Fischoeder,fischoeder@fischoederproperties.com,"https://vignette1.wikia.nocookie.net/bobsburgerpedia/images/7/7e/Mr._Fischoeder.png/revision/latest?cb=20130305161036"
